"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","820pF (cer)","","","","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
"C2","1","220pF (cer)","","","","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
"C3,C4,C9,C10,C15","5","100nF, MKT","","","","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","~"
"C5,C7","2","4,7uF, tantal","","","","Capacitor_THT:CP_Radial_Tantal_D4.5mm_P5.00mm","~"
"C6","1","470pF (cer)","","","","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
"C8","1","10uF, lyt","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"C11,C12","2","100uF, lyt","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"C13,C14","2","100nF","","","","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"HT1","1","HT","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Horizontal","~"
"IC3","1","SP0256-AL2","","","","Package_DIP:DIP-28_W15.24mm_Socket",""
"J1","1","ZX_Spectrum_Connector_48K","","","","ZXINFO_FOOTPRINT:EDGE_ZX_SPECTRUM",""
"Q1","1","BC548","","","","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/BC550-D.pdf"
"R1","1","4.7K","","","","Potentiometer_THT:Potentiometer_Piher_PT-10-V10_Vertical","~"
"R2,R10","2","100","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R3","1","330","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R4","1","100K","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R5","1","33K","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R6","1","1M","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R7","1","4,7K","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R8","1","10K, log","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Horizontal","~"
"R9","1","10","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"U1","1","74LS00","","","","Package_DIP:DIP-14_W7.62mm","http://www.ti.com/lit/gpn/sn74ls00"
"U2","1","74LS32","","","","Package_DIP:DIP-14_W7.62mm","http://www.ti.com/lit/gpn/sn74LS32"
"U3","1","LM386","","","","Package_DIP:DIP-8_W7.62mm","http://www.ti.com/lit/ds/symlink/lm386.pdf"
